Age	Sex	Cancer_ICD9	Organ	Gene	Years_5int	Cases_5int	Version	air
58	BOTH	151	Stomach	MSH2	850	1	V1_20180106	0.00117647058823529
59	BOTH	151	Stomach	MSH2	850	1	V1_20180106	0.00117647058823529
60	BOTH	151	Stomach	MSH2	654	2	V1_20180106	0.00305810397553517
61	BOTH	151	Stomach	MSH2	654	2	V1_20180106	0.00305810397553517
62	BOTH	151	Stomach	MSH2	654	2	V1_20180106	0.00305810397553517
63	BOTH	151	Stomach	MSH2	654	2	V1_20180106	0.00305810397553517
64	BOTH	151	Stomach	MSH2	654	2	V1_20180106	0.00305810397553517
65	BOTH	151	Stomach	MSH2	457	1	V1_20180106	0.00218818380743982
66	BOTH	151	Stomach	MSH2	457	1	V1_20180106	0.00218818380743982
67	BOTH	151	Stomach	MSH2	457	1	V1_20180106	0.00218818380743982
68	BOTH	151	Stomach	MSH2	457	1	V1_20180106	0.00218818380743982
69	BOTH	151	Stomach	MSH2	457	1	V1_20180106	0.00218818380743982
70	BOTH	151	Stomach	MSH2	210	2	V1_20180106	0.00952380952380952
71	BOTH	151	Stomach	MSH2	210	2	V1_20180106	0.00952380952380952
72	BOTH	151	Stomach	MSH2	210	2	V1_20180106	0.00952380952380952
73	BOTH	151	Stomach	MSH2	210	2	V1_20180106	0.00952380952380952
74	BOTH	151	Stomach	MSH2	210	2	V1_20180106	0.00952380952380952
75	BOTH	151	Stomach	MSH2	73	0	V1_20180106	0
76	BOTH	151	Stomach	MSH2	73	0	V1_20180106	0
77	BOTH	151	Stomach	MSH2	73	0	V1_20180106	0
78	BOTH	151	Stomach	MSH2	73	0	V1_20180106	0
79	BOTH	151	Stomach	MSH2	73	0	V1_20180106	0
80	BOTH	151	Stomach	MSH2	73	0	V1_20180106	0
25	BOTH	151	Stomach	MSH6	71	0	V1_20180106	0
26	BOTH	151	Stomach	MSH6	71	0	V1_20180106	0
27	BOTH	151	Stomach	MSH6	71	0	V1_20180106	0
28	BOTH	151	Stomach	MSH6	71	0	V1_20180106	0
29	BOTH	151	Stomach	MSH6	71	0	V1_20180106	0
30	BOTH	151	Stomach	MSH6	148	0	V1_20180106	0
31	BOTH	151	Stomach	MSH6	148	0	V1_20180106	0
32	BOTH	151	Stomach	MSH6	148	0	V1_20180106	0
33	BOTH	151	Stomach	MSH6	148	0	V1_20180106	0
34	BOTH	151	Stomach	MSH6	148	0	V1_20180106	0
35	BOTH	151	Stomach	MSH6	246	0	V1_20180106	0
36	BOTH	151	Stomach	MSH6	246	0	V1_20180106	0
37	BOTH	151	Stomach	MSH6	246	0	V1_20180106	0
38	BOTH	151	Stomach	MSH6	246	0	V1_20180106	0
39	BOTH	151	Stomach	MSH6	246	0	V1_20180106	0
40	BOTH	151	Stomach	MSH6	320	0	V1_20180106	0
41	BOTH	151	Stomach	MSH6	320	0	V1_20180106	0
42	BOTH	151	Stomach	MSH6	320	0	V1_20180106	0
43	BOTH	151	Stomach	MSH6	320	0	V1_20180106	0
44	BOTH	151	Stomach	MSH6	320	0	V1_20180106	0
45	BOTH	151	Stomach	MSH6	337	0	V1_20180106	0
46	BOTH	151	Stomach	MSH6	337	0	V1_20180106	0
47	BOTH	151	Stomach	MSH6	337	0	V1_20180106	0
48	BOTH	151	Stomach	MSH6	337	0	V1_20180106	0
49	BOTH	151	Stomach	MSH6	337	0	V1_20180106	0
50	BOTH	151	Stomach	MSH6	348	1	V1_20180106	0.0028735632183908
51	BOTH	151	Stomach	MSH6	348	1	V1_20180106	0.0028735632183908
52	BOTH	151	Stomach	MSH6	348	1	V1_20180106	0.0028735632183908
53	BOTH	151	Stomach	MSH6	348	1	V1_20180106	0.0028735632183908
54	BOTH	151	Stomach	MSH6	348	1	V1_20180106	0.0028735632183908
55	BOTH	151	Stomach	MSH6	346	0	V1_20180106	0
56	BOTH	151	Stomach	MSH6	346	0	V1_20180106	0
57	BOTH	151	Stomach	MSH6	346	0	V1_20180106	0
58	BOTH	151	Stomach	MSH6	346	0	V1_20180106	0
59	BOTH	151	Stomach	MSH6	346	0	V1_20180106	0
60	BOTH	151	Stomach	MSH6	316	0	V1_20180106	0
61	BOTH	151	Stomach	MSH6	316	0	V1_20180106	0
62	BOTH	151	Stomach	MSH6	316	0	V1_20180106	0
63	BOTH	151	Stomach	MSH6	316	0	V1_20180106	0
64	BOTH	151	Stomach	MSH6	316	0	V1_20180106	0
65	BOTH	151	Stomach	MSH6	218	0	V1_20180106	0
66	BOTH	151	Stomach	MSH6	218	0	V1_20180106	0
67	BOTH	151	Stomach	MSH6	218	0	V1_20180106	0
68	BOTH	151	Stomach	MSH6	218	0	V1_20180106	0
69	BOTH	151	Stomach	MSH6	218	0	V1_20180106	0
70	BOTH	151	Stomach	MSH6	101	1	V1_20180106	0.0099009900990099
71	BOTH	151	Stomach	MSH6	101	1	V1_20180106	0.0099009900990099
72	BOTH	151	Stomach	MSH6	101	1	V1_20180106	0.0099009900990099
73	BOTH	151	Stomach	MSH6	101	1	V1_20180106	0.0099009900990099
74	BOTH	151	Stomach	MSH6	101	1	V1_20180106	0.0099009900990099
75	BOTH	151	Stomach	MSH6	73	0	V1_20180106	0
76	BOTH	151	Stomach	MSH6	73	0	V1_20180106	0
77	BOTH	151	Stomach	MSH6	73	0	V1_20180106	0
78	BOTH	151	Stomach	MSH6	73	0	V1_20180106	0
79	BOTH	151	Stomach	MSH6	73	0	V1_20180106	0
80	BOTH	151	Stomach	MSH6	73	0	V1_20180106	0
25	BOTH	151	Stomach	PMS2	8	0	V1_20180106	0
26	BOTH	151	Stomach	PMS2	8	0	V1_20180106	0
27	BOTH	151	Stomach	PMS2	8	0	V1_20180106	0
28	BOTH	151	Stomach	PMS2	8	0	V1_20180106	0
29	BOTH	151	Stomach	PMS2	8	0	V1_20180106	0
30	BOTH	151	Stomach	PMS2	16	0	V1_20180106	0
31	BOTH	151	Stomach	PMS2	16	0	V1_20180106	0
32	BOTH	151	Stomach	PMS2	16	0	V1_20180106	0
33	BOTH	151	Stomach	PMS2	16	0	V1_20180106	0
34	BOTH	151	Stomach	PMS2	16	0	V1_20180106	0
35	BOTH	151	Stomach	PMS2	46	0	V1_20180106	0
36	BOTH	151	Stomach	PMS2	46	0	V1_20180106	0
37	BOTH	151	Stomach	PMS2	46	0	V1_20180106	0
38	BOTH	151	Stomach	PMS2	46	0	V1_20180106	0
39	BOTH	151	Stomach	PMS2	46	0	V1_20180106	0
40	BOTH	151	Stomach	PMS2	37	0	V1_20180106	0
41	BOTH	151	Stomach	PMS2	37	0	V1_20180106	0
42	BOTH	151	Stomach	PMS2	37	0	V1_20180106	0
43	BOTH	151	Stomach	PMS2	37	0	V1_20180106	0
44	BOTH	151	Stomach	PMS2	37	0	V1_20180106	0
45	BOTH	151	Stomach	PMS2	40	0	V1_20180106	0
46	BOTH	151	Stomach	PMS2	40	0	V1_20180106	0
47	BOTH	151	Stomach	PMS2	40	0	V1_20180106	0
48	BOTH	151	Stomach	PMS2	40	0	V1_20180106	0
49	BOTH	151	Stomach	PMS2	40	0	V1_20180106	0
50	BOTH	151	Stomach	PMS2	75	0	V1_20180106	0
51	BOTH	151	Stomach	PMS2	75	0	V1_20180106	0
52	BOTH	151	Stomach	PMS2	75	0	V1_20180106	0
53	BOTH	151	Stomach	PMS2	75	0	V1_20180106	0
54	BOTH	151	Stomach	PMS2	75	0	V1_20180106	0
55	BOTH	151	Stomach	PMS2	99	0	V1_20180106	0
56	BOTH	151	Stomach	PMS2	99	0	V1_20180106	0
57	BOTH	151	Stomach	PMS2	99	0	V1_20180106	0
58	BOTH	151	Stomach	PMS2	99	0	V1_20180106	0
59	BOTH	151	Stomach	PMS2	99	0	V1_20180106	0
60	BOTH	151	Stomach	PMS2	98	0	V1_20180106	0
61	BOTH	151	Stomach	PMS2	98	0	V1_20180106	0
62	BOTH	151	Stomach	PMS2	98	0	V1_20180106	0
63	BOTH	151	Stomach	PMS2	98	0	V1_20180106	0
64	BOTH	151	Stomach	PMS2	98	0	V1_20180106	0
65	BOTH	151	Stomach	PMS2	54	0	V1_20180106	0
66	BOTH	151	Stomach	PMS2	54	0	V1_20180106	0
67	BOTH	151	Stomach	PMS2	54	0	V1_20180106	0
68	BOTH	151	Stomach	PMS2	54	0	V1_20180106	0
69	BOTH	151	Stomach	PMS2	54	0	V1_20180106	0
70	BOTH	151	Stomach	PMS2	23	0	V1_20180106	0
71	BOTH	151	Stomach	PMS2	23	0	V1_20180106	0
72	BOTH	151	Stomach	PMS2	23	0	V1_20180106	0
73	BOTH	151	Stomach	PMS2	23	0	V1_20180106	0
74	BOTH	151	Stomach	PMS2	23	0	V1_20180106	0
75	BOTH	151	Stomach	PMS2	20	0	V1_20180106	0
76	BOTH	151	Stomach	PMS2	20	0	V1_20180106	0
77	BOTH	151	Stomach	PMS2	20	0	V1_20180106	0
78	BOTH	151	Stomach	PMS2	20	0	V1_20180106	0
79	BOTH	151	Stomach	PMS2	20	0	V1_20180106	0
80	BOTH	151	Stomach	PMS2	20	0	V1_20180106	0
25	BOTH	152	Duodenum	MLH1	889	0	V1_20180106	0
26	BOTH	152	Duodenum	MLH1	889	0	V1_20180106	0
27	BOTH	152	Duodenum	MLH1	889	0	V1_20180106	0
28	BOTH	152	Duodenum	MLH1	889	0	V1_20180106	0
29	BOTH	152	Duodenum	MLH1	889	0	V1_20180106	0
30	BOTH	152	Duodenum	MLH1	1325	1	V1_20180106	0.000754716981132075
31	BOTH	152	Duodenum	MLH1	1325	1	V1_20180106	0.000754716981132075
32	BOTH	152	Duodenum	MLH1	1325	1	V1_20180106	0.000754716981132075
33	BOTH	152	Duodenum	MLH1	1325	1	V1_20180106	0.000754716981132075
34	BOTH	152	Duodenum	MLH1	1325	1	V1_20180106	0.000754716981132075
35	BOTH	152	Duodenum	MLH1	1630	0	V1_20180106	0
36	BOTH	152	Duodenum	MLH1	1630	0	V1_20180106	0
37	BOTH	152	Duodenum	MLH1	1630	0	V1_20180106	0
38	BOTH	152	Duodenum	MLH1	1630	0	V1_20180106	0
39	BOTH	152	Duodenum	MLH1	1630	0	V1_20180106	0
40	BOTH	152	Duodenum	MLH1	1958	3	V1_20180106	0.00153217568947906
41	BOTH	152	Duodenum	MLH1	1958	3	V1_20180106	0.00153217568947906
42	BOTH	152	Duodenum	MLH1	1958	3	V1_20180106	0.00153217568947906
43	BOTH	152	Duodenum	MLH1	1958	3	V1_20180106	0.00153217568947906
44	BOTH	152	Duodenum	MLH1	1958	3	V1_20180106	0.00153217568947906
45	BOTH	152	Duodenum	MLH1	1909	0	V1_20180106	0
46	BOTH	152	Duodenum	MLH1	1909	0	V1_20180106	0
47	BOTH	152	Duodenum	MLH1	1909	0	V1_20180106	0
48	BOTH	152	Duodenum	MLH1	1909	0	V1_20180106	0
49	BOTH	152	Duodenum	MLH1	1909	0	V1_20180106	0
50	BOTH	152	Duodenum	MLH1	1727	1	V1_20180106	0.000579038795599305
51	BOTH	152	Duodenum	MLH1	1727	1	V1_20180106	0.000579038795599305
52	BOTH	152	Duodenum	MLH1	1727	1	V1_20180106	0.000579038795599305
53	BOTH	152	Duodenum	MLH1	1727	1	V1_20180106	0.000579038795599305
54	BOTH	152	Duodenum	MLH1	1727	1	V1_20180106	0.000579038795599305
55	BOTH	152	Duodenum	MLH1	1372	2	V1_20180106	0.00145772594752187
56	BOTH	152	Duodenum	MLH1	1372	2	V1_20180106	0.00145772594752187
57	BOTH	152	Duodenum	MLH1	1372	2	V1_20180106	0.00145772594752187
58	BOTH	152	Duodenum	MLH1	1372	2	V1_20180106	0.00145772594752187
59	BOTH	152	Duodenum	MLH1	1372	2	V1_20180106	0.00145772594752187
60	BOTH	152	Duodenum	MLH1	1062	0	V1_20180106	0
61	BOTH	152	Duodenum	MLH1	1062	0	V1_20180106	0
62	BOTH	152	Duodenum	MLH1	1062	0	V1_20180106	0
63	BOTH	152	Duodenum	MLH1	1062	0	V1_20180106	0
64	BOTH	152	Duodenum	MLH1	1062	0	V1_20180106	0
65	BOTH	152	Duodenum	MLH1	751	3	V1_20180106	0.00399467376830892
66	BOTH	152	Duodenum	MLH1	751	3	V1_20180106	0.00399467376830892
67	BOTH	152	Duodenum	MLH1	751	3	V1_20180106	0.00399467376830892
68	BOTH	152	Duodenum	MLH1	751	3	V1_20180106	0.00399467376830892
69	BOTH	152	Duodenum	MLH1	751	3	V1_20180106	0.00399467376830892
70	BOTH	152	Duodenum	MLH1	476	3	V1_20180106	0.00630252100840336
71	BOTH	152	Duodenum	MLH1	476	3	V1_20180106	0.00630252100840336
72	BOTH	152	Duodenum	MLH1	476	3	V1_20180106	0.00630252100840336
73	BOTH	152	Duodenum	MLH1	476	3	V1_20180106	0.00630252100840336
74	BOTH	152	Duodenum	MLH1	476	3	V1_20180106	0.00630252100840336
75	BOTH	152	Duodenum	MLH1	245	0	V1_20180106	0
76	BOTH	152	Duodenum	MLH1	245	0	V1_20180106	0
77	BOTH	152	Duodenum	MLH1	245	0	V1_20180106	0
78	BOTH	152	Duodenum	MLH1	245	0	V1_20180106	0
79	BOTH	152	Duodenum	MLH1	245	0	V1_20180106	0
80	BOTH	152	Duodenum	MLH1	245	0	V1_20180106	0
25	BOTH	152	Duodenum	MSH2	464	0	V1_20180106	0
26	BOTH	152	Duodenum	MSH2	464	0	V1_20180106	0
27	BOTH	152	Duodenum	MSH2	464	0	V1_20180106	0
28	BOTH	152	Duodenum	MSH2	464	0	V1_20180106	0
29	BOTH	152	Duodenum	MSH2	464	0	V1_20180106	0
30	BOTH	152	Duodenum	MSH2	693	0	V1_20180106	0
31	BOTH	152	Duodenum	MSH2	693	0	V1_20180106	0
32	BOTH	152	Duodenum	MSH2	693	0	V1_20180106	0
33	BOTH	152	Duodenum	MSH2	693	0	V1_20180106	0
34	BOTH	152	Duodenum	MSH2	693	0	V1_20180106	0
35	BOTH	152	Duodenum	MSH2	851	0	V1_20180106	0
36	BOTH	152	Duodenum	MSH2	851	0	V1_20180106	0
37	BOTH	152	Duodenum	MSH2	851	0	V1_20180106	0
38	BOTH	152	Duodenum	MSH2	851	0	V1_20180106	0
39	BOTH	152	Duodenum	MSH2	851	0	V1_20180106	0
40	BOTH	152	Duodenum	MSH2	1035	1	V1_20180106	0.000966183574879227
41	BOTH	152	Duodenum	MSH2	1035	1	V1_20180106	0.000966183574879227
42	BOTH	152	Duodenum	MSH2	1035	1	V1_20180106	0.000966183574879227
43	BOTH	152	Duodenum	MSH2	1035	1	V1_20180106	0.000966183574879227
44	BOTH	152	Duodenum	MSH2	1035	1	V1_20180106	0.000966183574879227
45	BOTH	152	Duodenum	MSH2	1012	1	V1_20180106	0.000988142292490119
46	BOTH	152	Duodenum	MSH2	1012	1	V1_20180106	0.000988142292490119
47	BOTH	152	Duodenum	MSH2	1012	1	V1_20180106	0.000988142292490119
48	BOTH	152	Duodenum	MSH2	1012	1	V1_20180106	0.000988142292490119
49	BOTH	152	Duodenum	MSH2	1012	1	V1_20180106	0.000988142292490119
50	BOTH	152	Duodenum	MSH2	952	2	V1_20180106	0.00210084033613445
51	BOTH	152	Duodenum	MSH2	952	2	V1_20180106	0.00210084033613445
52	BOTH	152	Duodenum	MSH2	952	2	V1_20180106	0.00210084033613445
53	BOTH	152	Duodenum	MSH2	952	2	V1_20180106	0.00210084033613445
54	BOTH	152	Duodenum	MSH2	952	2	V1_20180106	0.00210084033613445
55	BOTH	152	Duodenum	MSH2	848	0	V1_20180106	0
56	BOTH	152	Duodenum	MSH2	848	0	V1_20180106	0
57	BOTH	152	Duodenum	MSH2	848	0	V1_20180106	0
58	BOTH	152	Duodenum	MSH2	848	0	V1_20180106	0
59	BOTH	152	Duodenum	MSH2	848	0	V1_20180106	0
60	BOTH	152	Duodenum	MSH2	642	0	V1_20180106	0
61	BOTH	152	Duodenum	MSH2	642	0	V1_20180106	0
62	BOTH	152	Duodenum	MSH2	642	0	V1_20180106	0
63	BOTH	152	Duodenum	MSH2	642	0	V1_20180106	0
64	BOTH	152	Duodenum	MSH2	642	0	V1_20180106	0
65	BOTH	152	Duodenum	MSH2	457	0	V1_20180106	0
66	BOTH	152	Duodenum	MSH2	457	0	V1_20180106	0
67	BOTH	152	Duodenum	MSH2	457	0	V1_20180106	0
68	BOTH	152	Duodenum	MSH2	457	0	V1_20180106	0
69	BOTH	152	Duodenum	MSH2	457	0	V1_20180106	0
70	BOTH	152	Duodenum	MSH2	225	0	V1_20180106	0
71	BOTH	152	Duodenum	MSH2	225	0	V1_20180106	0
72	BOTH	152	Duodenum	MSH2	225	0	V1_20180106	0
73	BOTH	152	Duodenum	MSH2	225	0	V1_20180106	0
74	BOTH	152	Duodenum	MSH2	225	0	V1_20180106	0
75	BOTH	152	Duodenum	MSH2	82	0	V1_20180106	0
76	BOTH	152	Duodenum	MSH2	82	0	V1_20180106	0
77	BOTH	152	Duodenum	MSH2	82	0	V1_20180106	0
78	BOTH	152	Duodenum	MSH2	82	0	V1_20180106	0
79	BOTH	152	Duodenum	MSH2	82	0	V1_20180106	0
80	BOTH	152	Duodenum	MSH2	82	0	V1_20180106	0
25	BOTH	152	Duodenum	MSH6	71	0	V1_20180106	0
26	BOTH	152	Duodenum	MSH6	71	0	V1_20180106	0
27	BOTH	152	Duodenum	MSH6	71	0	V1_20180106	0
28	BOTH	152	Duodenum	MSH6	71	0	V1_20180106	0
29	BOTH	152	Duodenum	MSH6	71	0	V1_20180106	0
30	BOTH	152	Duodenum	MSH6	148	0	V1_20180106	0
31	BOTH	152	Duodenum	MSH6	148	0	V1_20180106	0
32	BOTH	152	Duodenum	MSH6	148	0	V1_20180106	0
33	BOTH	152	Duodenum	MSH6	148	0	V1_20180106	0
34	BOTH	152	Duodenum	MSH6	148	0	V1_20180106	0
35	BOTH	152	Duodenum	MSH6	246	0	V1_20180106	0
36	BOTH	152	Duodenum	MSH6	246	0	V1_20180106	0
37	BOTH	152	Duodenum	MSH6	246	0	V1_20180106	0
38	BOTH	152	Duodenum	MSH6	246	0	V1_20180106	0
39	BOTH	152	Duodenum	MSH6	246	0	V1_20180106	0
40	BOTH	152	Duodenum	MSH6	320	0	V1_20180106	0
41	BOTH	152	Duodenum	MSH6	320	0	V1_20180106	0
42	BOTH	152	Duodenum	MSH6	320	0	V1_20180106	0
43	BOTH	152	Duodenum	MSH6	320	0	V1_20180106	0
44	BOTH	152	Duodenum	MSH6	320	0	V1_20180106	0
45	BOTH	152	Duodenum	MSH6	337	0	V1_20180106	0
46	BOTH	152	Duodenum	MSH6	337	0	V1_20180106	0
47	BOTH	152	Duodenum	MSH6	337	0	V1_20180106	0
48	BOTH	152	Duodenum	MSH6	337	0	V1_20180106	0
49	BOTH	152	Duodenum	MSH6	337	0	V1_20180106	0
50	BOTH	152	Duodenum	MSH6	348	0	V1_20180106	0
51	BOTH	152	Duodenum	MSH6	348	0	V1_20180106	0
52	BOTH	152	Duodenum	MSH6	348	0	V1_20180106	0
53	BOTH	152	Duodenum	MSH6	348	0	V1_20180106	0
54	BOTH	152	Duodenum	MSH6	348	0	V1_20180106	0
55	BOTH	152	Duodenum	MSH6	350	0	V1_20180106	0
56	BOTH	152	Duodenum	MSH6	350	0	V1_20180106	0
57	BOTH	152	Duodenum	MSH6	350	0	V1_20180106	0
58	BOTH	152	Duodenum	MSH6	350	0	V1_20180106	0
59	BOTH	152	Duodenum	MSH6	350	0	V1_20180106	0
60	BOTH	152	Duodenum	MSH6	318	0	V1_20180106	0
61	BOTH	152	Duodenum	MSH6	318	0	V1_20180106	0
62	BOTH	152	Duodenum	MSH6	318	0	V1_20180106	0
63	BOTH	152	Duodenum	MSH6	318	0	V1_20180106	0
64	BOTH	152	Duodenum	MSH6	318	0	V1_20180106	0
65	BOTH	152	Duodenum	MSH6	223	0	V1_20180106	0
66	BOTH	152	Duodenum	MSH6	223	0	V1_20180106	0
67	BOTH	152	Duodenum	MSH6	223	0	V1_20180106	0
68	BOTH	152	Duodenum	MSH6	223	0	V1_20180106	0
69	BOTH	152	Duodenum	MSH6	223	0	V1_20180106	0
70	BOTH	152	Duodenum	MSH6	102	0	V1_20180106	0
71	BOTH	152	Duodenum	MSH6	102	0	V1_20180106	0
72	BOTH	152	Duodenum	MSH6	102	0	V1_20180106	0
73	BOTH	152	Duodenum	MSH6	102	0	V1_20180106	0
74	BOTH	152	Duodenum	MSH6	102	0	V1_20180106	0
75	BOTH	152	Duodenum	MSH6	73	0	V1_20180106	0
76	BOTH	152	Duodenum	MSH6	73	0	V1_20180106	0
77	BOTH	152	Duodenum	MSH6	73	0	V1_20180106	0
78	BOTH	152	Duodenum	MSH6	73	0	V1_20180106	0
79	BOTH	152	Duodenum	MSH6	73	0	V1_20180106	0
80	BOTH	152	Duodenum	MSH6	73	0	V1_20180106	0
25	BOTH	152	Duodenum	PMS2	8	0	V1_20180106	0
26	BOTH	152	Duodenum	PMS2	8	0	V1_20180106	0
27	BOTH	152	Duodenum	PMS2	8	0	V1_20180106	0
28	BOTH	152	Duodenum	PMS2	8	0	V1_20180106	0
29	BOTH	152	Duodenum	PMS2	8	0	V1_20180106	0
30	BOTH	152	Duodenum	PMS2	16	0	V1_20180106	0
31	BOTH	152	Duodenum	PMS2	16	0	V1_20180106	0
32	BOTH	152	Duodenum	PMS2	16	0	V1_20180106	0
